run,tag,git_commit,git_dirty,torch,gpu,config
20260911_145752_sensitivity,sensitivity,7993c1debd5ada2f53c2c916e8f65fd0fdcb2e32,True,2.1.0a0+41361538.nv23.06,Xavier,"{""det"": ""/home/kongwoang/research/risk-aware-perception/data/cache/det"", ""cheap"": ""cheap_320"", ""full"": ""full_640"", ""crit_models"": [""composite"", ""uniform"", ""corridor"", ""proximity"", ""ttc"", ""binary"", ""composite_wide"", ""composite_narrow"", ""composite_near"", ""composite_far"", ""composite_ttcheavy"", ""composite_proxheavy""], ""iou_thrs"": [0.3, 0.5, 0.7], ""op_confs"": [0.15, 0.25, 0.4], ""fp_lambdas"": [0.0, 0.5,"
20260911_150044_analysis,analysis,7993c1debd5ada2f53c2c916e8f65fd0fdcb2e32,True,2.1.0a0+41361538.nv23.06,Xavier,"{""table"": ""results/processed/frames_composite.pkl"", ""model"": ""gbm"", ""lat_cheap"": 10.145, ""lat_full"": 16.024, ""energy_cheap"": 24.4, ""energy_full"": 39.0, ""tag"": ""analysis""}"
20260911_155416_sensitivity,sensitivity,6be7915dad3c359f390c8166a5868c2407a015db,True,2.1.0a0+41361538.nv23.06,Xavier,"{""det"": ""/home/kongwoang/research/risk-aware-perception/data/cache/det"", ""cheap"": ""cheap_320"", ""full"": ""full_640"", ""crit_models"": [""composite"", ""uniform"", ""corridor"", ""proximity"", ""ttc"", ""binary"", ""composite_wide"", ""composite_narrow"", ""composite_near"", ""composite_far"", ""composite_ttcheavy"", ""composite_proxheavy""], ""iou_thrs"": [0.3, 0.5, 0.7], ""op_confs"": [0.15, 0.25, 0.4], ""fp_lambdas"": [0.0, 0.5,"
20260911_170905_recoverability,recoverability,77c025583e5ddf99726832be7e6cbe3a48a9b39d,True,2.1.0a0+41361538.nv23.06,Xavier,"{""det"": ""/home/kongwoang/research/risk-aware-perception/data/cache/det"", ""cheap"": ""cheap_320"", ""full"": ""full_640"", ""frames"": ""/home/kongwoang/research/risk-aware-perception/results/processed/frames_composite.pkl"", ""model"": ""gbm"", ""crit_model"": ""composite"", ""op_conf"": 0.25, ""lat_cheap"": 10.145, ""lat_full"": 16.024, ""energy_cheap"": 24.45, ""energy_full"": 39.04, ""tag"": ""recoverability""}"
20260911_181039_decision,decision,ad7bc06fb2d79012944ea350c013aa5d2752cddb,True,2.1.0a0+41361538.nv23.06,Xavier,"{""det"": ""/home/kongwoang/research/risk-aware-perception/data/cache/det"", ""cheap"": ""cheap_320"", ""full"": ""full_640"", ""frames"": ""/home/kongwoang/research/risk-aware-perception/results/processed/frames_composite.pkl"", ""planner"": ""default"", ""cost"": ""default"", ""op_conf"": 0.25, ""tag"": ""decision""}"
20260911_181639_decision_budget,decision_budget,ad7bc06fb2d79012944ea350c013aa5d2752cddb,True,2.1.0a0+41361538.nv23.06,Xavier,"{""det"": ""/home/kongwoang/research/risk-aware-perception/data/cache/det"", ""cheap"": ""cheap_320"", ""full"": ""full_640"", ""frames"": ""/home/kongwoang/research/risk-aware-perception/results/processed/frames_composite.pkl"", ""lat_cheap"": 10.145, ""lat_full"": 16.024, ""tag"": ""decision_budget""}"
20260911_183336_detect,detect,95382774f2b75415382700d30fdd4efed31122c0,True,2.1.0a0+41361538.nv23.06,Xavier,"{""weights"": ""/home/kongwoang/models/yolo/yolov8s.pt"", ""backend"": ""trt"", ""cheap"": ""cheap_512"", ""full"": ""full_640"", ""extra_modes"": [], ""sequences"": null, ""limit"": 0, ""out"": ""data/cache/det512""}"
20260911_223528_stage1,stage1,95382774f2b75415382700d30fdd4efed31122c0,True,2.1.0a0+41361538.nv23.06,Xavier,"{""det"": ""/home/kongwoang/research/risk-aware-perception/data/cache/det"", ""det512"": ""/home/kongwoang/research/risk-aware-perception/data/cache/det512"", ""tag"": ""stage1""}"
20260911_224615_stage2,stage2,a929ae16a3910c7c3d5432893eb2d7294972835f,True,2.1.0a0+41361538.nv23.06,Xavier,"{""det"": ""/home/kongwoang/research/risk-aware-perception/data/cache/det"", ""det512"": ""/home/kongwoang/research/risk-aware-perception/data/cache/det512"", ""tag"": ""stage2""}"
20260911_233200_nusc_detect,nusc_detect,b9472d8429e37d4274435ea7e705cac16bd9c1fa,True,2.1.0a0+41361538.nv23.06,Xavier,"{""dataroot"": ""/home/kongwoang/datasets/nuscenes"", ""version"": ""v1.0-mini"", ""weights"": ""/home/kongwoang/models/yolo/yolov8s.pt"", ""cheap"": ""ns_cheap_320"", ""full"": ""ns_full_640"", ""scenes"": 0, ""out"": ""/home/kongwoang/research/risk-aware-perception/data/cache/nusc_det""}"
20260911_233332_nusc_decision,nusc_decision,b9472d8429e37d4274435ea7e705cac16bd9c1fa,True,2.1.0a0+41361538.nv23.06,Xavier,"{""dataroot"": ""/home/kongwoang/datasets/nuscenes"", ""version"": ""v1.0-mini"", ""det"": ""/home/kongwoang/research/risk-aware-perception/data/cache/nusc_det"", ""cheap"": ""ns_cheap_320"", ""full"": ""ns_full_640"", ""tag"": ""nusc_decision""}"
20260911_233520_nusc_decision,nusc_decision,b9472d8429e37d4274435ea7e705cac16bd9c1fa,True,2.1.0a0+41361538.nv23.06,Xavier,"{""dataroot"": ""/home/kongwoang/datasets/nuscenes"", ""version"": ""v1.0-mini"", ""det"": ""/home/kongwoang/research/risk-aware-perception/data/cache/nusc_det"", ""cheap"": ""ns_cheap_320"", ""full"": ""ns_full_640"", ""tag"": ""nusc_decision""}"
20260912_002239_final_matrix,final_matrix,0fd3fdfbd040c4d03bbd9287fc89a85767d0f23b,True,2.1.0a0+41361538.nv23.06,Xavier,"{""tag"": ""final_matrix""}"
20260912_010201_nusc_detect,nusc_detect,01ee720ec72717e9d73cf0f533bcc7d46e0aebcb,True,2.1.0a0+41361538.nv23.06,Xavier,"{""dataroot"": ""/home/kongwoang/datasets/nuscenes/trainval"", ""version"": ""v1.0-trainval"", ""weights"": ""/home/kongwoang/models/yolo/yolov8s.pt"", ""cheap"": ""ns_cheap_320"", ""full"": ""ns_full_640"", ""scenes"": 0, ""out"": ""data/cache/nusc_det_tv""}"
20260912_010754_nusc_detect,nusc_detect,01ee720ec72717e9d73cf0f533bcc7d46e0aebcb,True,2.1.0a0+41361538.nv23.06,Xavier,"{""dataroot"": ""/home/kongwoang/datasets/nuscenes/trainval"", ""version"": ""v1.0-trainval"", ""weights"": ""/home/kongwoang/models/yolo/yolov8s.pt"", ""cheap"": ""ns_cheap_320"", ""full"": ""ns_full_640"", ""scenes"": 0, ""out"": ""data/cache/nusc_det_tv""}"
20260912_011500_nusc_tv,nusc_tv,01ee720ec72717e9d73cf0f533bcc7d46e0aebcb,True,2.1.0a0+41361538.nv23.06,Xavier,"{""dataroot"": ""/home/kongwoang/datasets/nuscenes/trainval"", ""version"": ""v1.0-trainval"", ""det"": ""data/cache/nusc_det_tv"", ""cheap"": ""ns_cheap_320"", ""full"": ""ns_full_640"", ""tag"": ""nusc_tv""}"
20260912_012320_percep_metrics,percep_metrics,01ee720ec72717e9d73cf0f533bcc7d46e0aebcb,True,2.1.0a0+41361538.nv23.06,Xavier,"{""tag"": ""percep_metrics""}"
20260912_014320_detect,detect,b5d5696f4301292234e009b4ba28b8c725e44f64,True,2.1.0a0+41361538.nv23.06,Xavier,"{""weights"": ""/home/kongwoang/models/yolo/rtdetr-l.pt"", ""backend"": ""trt"", ""cheap"": ""rt_cheap_320"", ""full"": ""rt_full_640"", ""extra_modes"": [], ""sequences"": null, ""limit"": 0, ""out"": ""data/cache/rtdetr_kitti"", ""engine_stem"": ""rtdetrl""}"
20260912_014735_temporal_kitti,temporal_kitti,b5d5696f4301292234e009b4ba28b8c725e44f64,True,2.1.0a0+41361538.nv23.06,Xavier,"{""dataset"": ""kitti"", ""det"": ""/home/kongwoang/research/risk-aware-perception/data/cache/det"", ""cheap"": ""cheap_320"", ""full"": ""full_640"", ""tag"": ""temporal_kitti""}"
20260912_015755_detect,detect,b768e32bd79afb80a978e42d96a1407a344ff34e,True,2.1.0a0+41361538.nv23.06,Xavier,"{""weights"": ""/home/kongwoang/models/yolo/rtdetr-l.pt"", ""backend"": ""trt"", ""cheap"": ""rt_mid_480"", ""full"": ""rt_full_640"", ""extra_modes"": [], ""sequences"": null, ""limit"": 0, ""out"": ""data/cache/rtdetr_kitti_mid"", ""engine_stem"": ""rtdetrl""}"
20260912_021305_profile,profile,d564e6b5f2fbaafca7be87ec5627b93a07f38227,True,2.1.0a0+41361538.nv23.06,Xavier,"{""weights"": ""/home/kongwoang/models/yolo/yolov8s.pt"", ""modes"": [""cheap_320"", ""cheap_384"", ""cheap_512"", ""full_640""], ""reps"": 300, ""warmup"": 50, ""half"": 1, ""backend"": ""trt"", ""images"": ""/home/kongwoang/datasets/kitti_tracking/training/image_02/0000"", ""rounds"": 3, ""allow_contention"": false}"
20260912_023431_profile,profile,d564e6b5f2fbaafca7be87ec5627b93a07f38227,True,2.1.0a0+41361538.nv23.06,Xavier,"{""weights"": ""/home/kongwoang/models/yolo/rtdetr-l.pt"", ""modes"": [""rt_cheap_320"", ""rt_mid_480"", ""rt_full_640""], ""reps"": 200, ""warmup"": 40, ""half"": 1, ""backend"": ""trt"", ""images"": ""/home/kongwoang/datasets/kitti_tracking/training/image_02/0000"", ""rounds"": 3, ""allow_contention"": false}"
20260912_023524_profile,profile,d564e6b5f2fbaafca7be87ec5627b93a07f38227,True,2.1.0a0+41361538.nv23.06,Xavier,"{""weights"": ""/home/kongwoang/models/yolo/rtdetr-l.pt"", ""modes"": [""rt_cheap_320"", ""rt_mid_480"", ""rt_full_640""], ""reps"": 200, ""warmup"": 40, ""half"": 1, ""backend"": ""trt"", ""images"": ""/home/kongwoang/datasets/kitti_tracking/training/image_02/0000"", ""rounds"": 3, ""engine_stem"": ""rtdetrl"", ""allow_contention"": false}"
20260912_023739_core_matrix,core_matrix,d564e6b5f2fbaafca7be87ec5627b93a07f38227,True,2.1.0a0+41361538.nv23.06,Xavier,"{""tag"": ""core_matrix"", ""skip_multimetric"": false}"
20260912_071140_core_matrix,core_matrix,d564e6b5f2fbaafca7be87ec5627b93a07f38227,True,2.1.0a0+41361538.nv23.06,Xavier,"{""tag"": ""core_matrix"", ""skip_multimetric"": false}"
20260912_072848_finalize,finalize,b2de3c9e046d4b6feed4770bb83a174ec105a598,True,2.1.0a0+41361538.nv23.06,Xavier,"{""tag"": ""finalize""}"
20260912_073149_profile,profile,b2de3c9e046d4b6feed4770bb83a174ec105a598,True,2.1.0a0+41361538.nv23.06,Xavier,"{""weights"": ""/home/kongwoang/models/yolo/yolov8s.pt"", ""modes"": [""ns_cheap_320"", ""ns_full_640""], ""reps"": 250, ""warmup"": 40, ""half"": 1, ""backend"": ""trt"", ""images"": ""/home/kongwoang/datasets/nuscenes/trainval/samples/CAM_FRONT"", ""rounds"": 3, ""engine_stem"": null, ""allow_contention"": false}"
20260912_073228_profile,profile,b2de3c9e046d4b6feed4770bb83a174ec105a598,True,2.1.0a0+41361538.nv23.06,Xavier,"{""weights"": ""/home/kongwoang/models/yolo/yolov8s.pt"", ""modes"": [""ns_cheap_320"", ""ns_full_640""], ""reps"": 250, ""warmup"": 40, ""half"": 1, ""backend"": ""trt"", ""images"": ""/home/kongwoang/datasets/nuscenes/trainval/samples/CAM_FRONT"", ""rounds"": 3, ""engine_stem"": null, ""allow_contention"": false}"
20260912_073405_finalize,finalize,b2de3c9e046d4b6feed4770bb83a174ec105a598,True,2.1.0a0+41361538.nv23.06,Xavier,"{""tag"": ""finalize""}"
